Text,Summary,Author,Title,Page Numbers
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
"back in 1822, there was a warthog",blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
"5, 6, 7, 8, who do we appreciate? Platypuses!",blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
"text containing a numeral, 8 in this case",blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
blah blah blah,blatherskite,Deferential Writer,A Superfluous Tale,
"text containing a numeral, 0 in this case",oil changing process,Deferential Writer,A Superfluous Tale,
blah blah blah,oil changing process,Deferential Writer,A Superfluous Tale,
blah blah blah,oil changing process,Deferential Writer,A Superfluous Tale,
blah blah blah,oil changing process,Deferential Writer,A Superfluous Tale,
blah blah blah,oil changing process,Deferential Writer,A Superfluous Tale,
"text containing a numeral, 9 in this case",oil changing process,Deferential Writer,A Superfluous Tale,
blah blah blah,oil changing process,Deferential Writer,A Superfluous Tale,
blah blah blah,oil changing process,Deferential Writer,A Superfluous Tale,
blah blah blah,oil changing process,Deferential Writer,A Superfluous Tale,
blah blah blah,oil changing process,Deferential Writer,A Superfluous Tale,
